Mean,Median,Mode,StandardDeviation,Skewness,Kurtosis,Disorder
42.71057892,34,6,42.48935618,0.980656139,0.689021507,1
53.28776169,59,7,33.54223542,0.266763162,-0.293924565,1
62.89984131,68,9,39.02400546,0.262942226,-0.340619125,1
55.87936401,59,7,34.39371322,0.360523074,-0.07621441,1
60.83597946,68,86,37.35925475,0.304424688,-0.026343772,1
46.14394379,48,3,34.86491157,0.625987555,0.409425255,1
49.97836304,53,3,36.51692796,0.527636565,0.214247739,1
50.45933151,54,4,37.1687807,0.579577874,0.367597356,1
53.96121597,59,4,38.6755782,0.472384032,0.229055176,1
57.41794586,62,4,41.35501109,0.483491513,0.197202398,1
58.35284042,65,4,41.10236137,0.34367188,0.012632813,1
38.35948563,29,5,38.27363206,1.019871155,0.801265025,1
59.28190613,65,4,43.73250989,0.432331247,-0.053225644,1
65.57333755,72,4,49.34724044,0.493370314,0.10044107,1
64.48981476,70,4,49.76858851,0.575134502,0.252028545,1
63.19680023,69,3,48.92760792,0.567371483,0.238250714,1
66.32292938,76,4,42.82917257,0.148555673,0.092599708,1
64.79161072,73,4,41.38280015,0.144603599,0.066313183,1
62.82200623,69,4,39.98956977,0.168126548,0.168142289,1
62.82200623,69,4,39.98956977,0.168126548,0.168142289,1
65.48637772,73,4,41.77938244,0.183098364,0.103422437,1
46.70122147,46,5,36.81402159,1.165537735,2.898963854,1
40.30958557,25,0,42.43909683,0.867876278,-0.111835973,1
41.05902863,8,0,47.18758677,0.961523371,0.365947406,1
48.39727402,51,5,37.10201097,1.065993924,2.659733617,1
61.98666382,70,3,49.13286302,0.533935642,0.100935333,1
62.36849213,70,4,49.58863772,0.592868999,0.285639725,1
58.7746582,65,3,46.58430045,0.632904569,0.451001747,1
57.09989166,62,3,45.20128088,0.652406758,0.484547887,1
53.82913589,60,3,42.93089907,0.604518771,0.321187066,1
56.18002319,62,3,45.05651199,0.631096188,0.374435586,1
53.63065338,56,9,39.41434981,0.979129102,1.821450677,1
52.11816025,53,9,38.89200718,1.0591127,2.00321755,1
37.08752823,37,7,27.60684316,1.15102379,2.382299401,1
36.124897,6,0,41.61295462,1.033375342,0.797759912,1
41.90667343,42,7,30.81020768,1.101771949,2.33361538,1
39.90510178,41,7,29.36846463,1.000056289,1.922940067,1
51.69619751,54,8,37.77287303,0.968287956,1.884104482,1
54.84257889,59,10,35.25624877,0.671660852,1.372484399,1
56.52501297,59,11,36.63821964,0.759224685,1.400275212,1
54.87791443,61,10,35.92656173,0.578571431,1.138108335,1
61.72378922,70,3,46.53225743,0.446697328,0.036170961,1
61.3547287,68,3,46.74838033,0.513030762,0.176789088,1
60.64824677,66,3,46.31594053,0.551732195,0.248580085,1
60.0075531,65,3,45.16485497,0.554386333,0.338679276,1
37.75302887,6,0,43.53391262,1.070302188,1.030503961,1
57.98490524,62,3,43.41197433,0.593519566,0.467964943,1
60.06715012,68,3,49.20769884,0.508961016,-0.090924229,1
53.60894012,59,3,44.80030676,0.599142836,0.11718375,1
55.84259033,61,3,46.26670992,0.63280593,0.31209537,1
56.57684708,61,3,47.20222908,0.706230028,0.521686681,1
57.89300156,63,3,47.94911595,0.634989793,0.300076244,1
58.54163361,65,3,48.01735912,0.570289582,0.138577081,1
59.86582565,66,3,50.35362535,0.578153261,-0.013562367,1
63.83362579,73,3,51.61033137,0.482673159,-0.130337938,1
51.71517563,56,3,43.64832767,0.791661214,0.774556897,1
33.57155991,9,0,39.90237509,1.197499143,1.043723909,1
54.5625267,63,3,43.54717499,0.508504832,0.099587211,1
61.92650986,71,3,50.2204751,0.587896624,0.234225628,1
59.90312958,66,3,49.49341925,0.691626784,0.477894212,1
57.13806152,64,3,46.40398968,0.714143475,0.731726005,1
56.86914063,62,3,46.18575642,0.789299801,1.034545349,1
53.04471588,57,3,43.97316018,0.809642408,0.91984432,1
54.69914246,61,3,44.87987906,0.718347588,0.741533611,1
58.04170227,65,3,47.49701248,0.657127397,0.483562323,1
56.73564148,59,8,40.30912788,0.874431561,1.43458459,1
56.81696701,58,8,40.11195056,0.909138951,1.550746444,1
30.54084396,8,0,35.61216535,1.195633517,1.277014978,1
